batch_size,flops,formula,forward_id,kv_len,layer_idx,op_name,phase,q_len,source
1,20937965568,2*B*Q*D*D,1,624,12,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,12,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,12,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,12,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,12,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,12,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,12,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,12,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,12,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,13,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,13,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,13,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,13,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,13,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,13,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,13,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,13,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,13,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,14,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,14,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,14,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,14,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,14,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,14,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,14,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,14,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,14,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,15,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,15,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,15,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,15,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,15,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,15,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,15,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,15,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,15,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,16,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,16,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,16,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,16,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,16,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,16,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,16,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,16,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,16,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,17,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,17,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,17,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,17,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,17,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,17,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,17,mlp_gate_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,17,mlp_up_proj,prefill,624,formula
1,56270782464,2*B*Q*FFN*D,1,624,17,mlp_down_proj,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,18,q_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,18,k_proj,prefill,624,formula
1,20937965568,2*B*Q*D*KV_DIM,1,624,18,v_proj,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,18,attn_qk_matmul,prefill,624,formula
1,3189768192,2*B*H*Q*KV*HEAD_DIM,1,624,18,attn_sv_matmul,prefill,624,formula
1,20937965568,2*B*Q*D*D,1,624,18,o_proj,prefill,624,formula
1,56270782464,2*B*Q*D*FFN,1,624,18,mlp_gate_proj,prefill,624,formula
