batch_size,dispatch_captured,forward_id,hidden_shape_in,hidden_shape_out,kv_len,layer_idx,layer_module_path,past_len,phase,position_shape,q_len
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,24,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,25,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,26,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",63,27,model.layers.31,62,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,28,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,29,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,30,model.layers.31,52,decode,"[1, 1]",1
1,False,6,"[1, 1, 4096]","[1, 1, 4096]",53,31,model.layers.31,52,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,0,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,1,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,2,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,3,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,4,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,5,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,6,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,7,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,8,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,9,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,10,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,11,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,12,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,13,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,14,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,15,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,16,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,17,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",630,18,model.layers.31,629,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,19,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,20,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,21,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,22,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,23,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,24,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,25,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,26,model.layers.31,63,decode,"[1, 1]",1
1,False,7,"[1, 1, 4096]","[1, 1, 4096]",64,27,model.layers.31,63,decode,"[1, 1]",1
